county,state,year,venue_rating,claim_count,total_settlement,avg_settlement,avg_variance_pct,high_variance_count,high_variance_pct,overprediction_count,underprediction_count
Alameda,CA,2023,Defense Friendly,3,315573,105191,-10.72,0,0,0,0
Alameda,NY,2023,Neutral,2,180948,90474,-10.08,0,0,0,0
Alameda,NY,2023,Plaintiff Friendly,5,286182,57236,-2.1,0,0,0,0
Alameda,TX,2023,Plaintiff Friendly,4,311858,77965,4.24,0,0,0,0
Alameda,IL,2023,Neutral,4,429935,107484,-3.89,0,0,0,0
Alameda,IL,2023,Plaintiff Friendly,3,170376,56792,4.41,0,0,0,0
Alameda,NY,2023,Defense Friendly,3,338059,112686,-1.31,0,0,0,0
Alameda,FL,2023,Plaintiff Friendly,1,123084,123084,-17.59,0,0,0,0
Alameda,FL,2023,Defense Friendly,4,158910,39728,18.66,1,25,0,1
Alameda,CA,2023,Plaintiff Friendly,2,248168,124084,-12,0,0,0,0
Alameda,CA,2023,Neutral,6,588425,98071,-2.13,1,16.67,0,1
Alameda,TX,2023,Neutral,5,341509,68302,5.65,1,20,0,1
Alameda,TX,2023,Defense Friendly,3,270392,90131,15.57,1,33.33,0,1
Alameda,IL,2023,Defense Friendly,3,208544,69515,-4.75,0,0,0,0
Alameda,FL,2023,Neutral,1,145330,145330,4.46,0,0,0,0
Los Angeles,FL,2023,Defense Friendly,3,263040,87680,19.91,1,33.33,0,1
Los Angeles,NY,2023,Plaintiff Friendly,3,244325,81442,4.08,1,33.33,0,1
Los Angeles,CA,2023,Plaintiff Friendly,3,207587,69196,-11.61,0,0,0,0
Los Angeles,IL,2023,Defense Friendly,4,349010,87253,1.57,1,25,0,1
Los Angeles,CA,2023,Defense Friendly,2,153439,76720,18.71,1,50,0,1
Los Angeles,FL,2023,Neutral,3,316237,105412,-14.98,0,0,0,0
Los Angeles,TX,2023,Defense Friendly,2,200214,100107,-0.81,0,0,0,0
Los Angeles,FL,2023,Plaintiff Friendly,6,423045,70508,16.71,3,50,0,3
Los Angeles,NY,2023,Neutral,2,187446,93723,16.33,1,50,0,1
Los Angeles,IL,2023,Plaintiff Friendly,2,179283,89642,2.48,0,0,0,0
Los Angeles,TX,2023,Neutral,5,247283,49457,3.81,0,0,0,0
Los Angeles,TX,2023,Plaintiff Friendly,3,258279,86093,22.41,2,66.67,0,2
Los Angeles,IL,2023,Neutral,2,124128,62064,5.47,0,0,0,0
Los Angeles,CA,2023,Neutral,4,314391,78598,4.42,1,25,0,1
Los Angeles,NY,2023,Defense Friendly,3,370442,123481,-3.92,0,0,0,0
Orange,IL,2023,Plaintiff Friendly,3,160996,53665,2.88,0,0,0,0
Orange,CA,2023,Plaintiff Friendly,6,559039,93173,-11.12,0,0,0,0
Orange,FL,2023,Plaintiff Friendly,2,208376,104188,14.37,1,50,0,1
Orange,CA,2023,Neutral,2,97384,48692,-0.48,0,0,0,0
Orange,TX,2023,Neutral,4,242230,60558,20.54,3,75,0,3
Orange,NY,2023,Neutral,4,290764,72691,1.82,0,0,0,0
Orange,IL,2023,Neutral,1,138390,138390,14.44,0,0,0,0
Orange,IL,2023,Defense Friendly,4,318615,79654,18.73,2,50,0,2
Orange,CA,2023,Defense Friendly,3,316825,105608,5.69,1,33.33,0,1
Orange,TX,2023,Defense Friendly,1,36540,36540,-7.01,0,0,0,0
Orange,NY,2023,Defense Friendly,2,88820,44410,-12.64,0,0,0,0
Orange,NY,2023,Plaintiff Friendly,4,361549,90387,-0.59,0,0,0,0
Orange,FL,2023,Defense Friendly,1,67893,67893,-14.11,0,0,0,0
Orange,TX,2023,Plaintiff Friendly,1,126131,126131,34.23,1,100,0,1
Riverside,TX,2023,Neutral,3,58359,19453,14,1,33.33,0,1
Riverside,IL,2023,Plaintiff Friendly,3,381408,127136,7.57,1,33.33,0,1
Riverside,CA,2023,Neutral,1,49902,49902,17.91,0,0,0,0
Riverside,CA,2023,Plaintiff Friendly,2,151814,75907,-8.88,0,0,0,0
Riverside,FL,2023,Defense Friendly,3,252296,84099,-11.34,0,0,0,0
Riverside,NY,2023,Plaintiff Friendly,3,146954,48985,-9.05,0,0,0,0
Riverside,NY,2023,Defense Friendly,2,224868,112434,1.92,0,0,0,0
Riverside,TX,2023,Defense Friendly,3,205616,68539,7.22,1,33.33,0,1
Riverside,FL,2023,Neutral,3,246243,82081,12.92,1,33.33,0,1
Riverside,IL,2023,Defense Friendly,5,505809,101162,5.4,2,40,0,2
Riverside,IL,2023,Neutral,4,363849,90962,6.88,1,25,0,1
Riverside,FL,2023,Plaintiff Friendly,2,201466,100733,-8.32,0,0,0,0
Riverside,TX,2023,Plaintiff Friendly,2,139904,69952,6.12,0,0,0,0
Riverside,NY,2023,Neutral,1,108970,108970,12.93,0,0,0,0
Riverside,CA,2023,Defense Friendly,1,68621,68621,0.49,0,0,0,0
Sacramento,CA,2023,Defense Friendly,3,239958,79986,0.63,0,0,0,0
Sacramento,TX,2023,Plaintiff Friendly,2,154758,77379,6.81,0,0,0,0
Sacramento,NY,2023,Plaintiff Friendly,2,160441,80221,-13.06,0,0,0,0
Sacramento,TX,2023,Defense Friendly,3,258799,86266,25.62,2,66.67,0,2
Sacramento,FL,2023,Defense Friendly,4,195990,48998,-5.62,0,0,0,0
Sacramento,TX,2023,Neutral,2,152542,76271,-2.72,0,0,0,0
Sacramento,IL,2023,Defense Friendly,1,132768,132768,-19.01,0,0,0,0
Sacramento,FL,2023,Plaintiff Friendly,2,55498,27749,25.63,1,50,0,1
Sacramento,NY,2023,Neutral,1,132700,132700,-18.67,0,0,0,0
Sacramento,IL,2023,Plaintiff Friendly,4,298171,74543,17.68,2,50,0,2
Sacramento,NY,2023,Defense Friendly,1,3923,3923,-5.84,0,0,0,0
Sacramento,CA,2023,Neutral,2,193844,96922,19.45,1,50,0,1
